kernel,dtype,size,blocksize,n_batch,sparsity,speedup,note
torch-2.0(fallback),torch.bfloat16,2048,16,1,0.49810791015625,0.0078,
torch-2.0(fallback),torch.bfloat16,2048,16,1,0.59375,0.0094,
torch-2.0(fallback),torch.bfloat16,2048,16,1,0.68072509765625,0.0116,
torch-2.0(fallback),torch.bfloat16,2048,16,1,0.7630615234375,0.0143,
torch-2.0(fallback),torch.bfloat16,2048,16,1,0.82598876953125,0.0147,
torch-2.0(fallback),torch.bfloat16,2048,16,1,0.8782958984375,0.0154,
torch-2.0(fallback),torch.bfloat16,2048,16,1,0.9132080078125,0.0159,
torch-2.0(fallback),torch.bfloat16,2048,16,1,0.948486328125,0.0163,
torch-2.0(fallback),torch.bfloat16,2048,16,1,0.96954345703125,0.0165,
torch-2.0(fallback),torch.bfloat16,2048,16,1,0.98162841796875,0.0167,
torch-2.0(fallback),torch.bfloat16,2048,16,1,0.989013671875,0.0167,
torch-2.0(fallback),torch.bfloat16,2048,32,1,0.50244140625,0.0140,
torch-2.0(fallback),torch.bfloat16,2048,32,1,0.598388671875,0.0146,
torch-2.0(fallback),torch.bfloat16,2048,32,1,0.6787109375,0.0149,
torch-2.0(fallback),torch.bfloat16,2048,32,1,0.755859375,0.0153,
torch-2.0(fallback),torch.bfloat16,2048,32,1,0.821533203125,0.0156,
torch-2.0(fallback),torch.bfloat16,2048,32,1,0.87158203125,0.0160,
torch-2.0(fallback),torch.bfloat16,2048,32,1,0.92578125,0.0162,
torch-2.0(fallback),torch.bfloat16,2048,32,1,0.94921875,0.0156,
torch-2.0(fallback),torch.bfloat16,2048,32,1,0.966796875,0.0163,
torch-2.0(fallback),torch.bfloat16,2048,32,1,0.98291015625,0.0162,
torch-2.0(fallback),torch.bfloat16,2048,32,1,0.993408203125,0.0166,
torch-2.0(fallback),torch.bfloat16,2048,64,1,0.5234375,0.0151,
torch-2.0(fallback),torch.bfloat16,2048,64,1,0.57421875,0.0155,
torch-2.0(fallback),torch.bfloat16,2048,64,1,0.66015625,0.0159,
torch-2.0(fallback),torch.bfloat16,2048,64,1,0.767578125,0.0162,
torch-2.0(fallback),torch.bfloat16,2048,64,1,0.818359375,0.0164,
torch-2.0(fallback),torch.bfloat16,2048,64,1,0.884765625,0.0162,
torch-2.0(fallback),torch.bfloat16,2048,64,1,0.923828125,0.0167,
torch-2.0(fallback),torch.bfloat16,2048,64,1,0.955078125,0.0169,
torch-2.0(fallback),torch.bfloat16,2048,64,1,0.955078125,0.0169,
torch-2.0(fallback),torch.bfloat16,2048,64,1,0.982421875,0.0170,
torch-2.0(fallback),torch.bfloat16,2048,64,1,0.9912109375,0.0170,
torch-2.1(triton),torch.bfloat16,2048,16,1,0.508056640625,0.1595,
torch-2.1(triton),torch.bfloat16,2048,16,1,0.59124755859375,0.1925,
torch-2.1(triton),torch.bfloat16,2048,16,1,0.68218994140625,0.2387,
torch-2.1(triton),torch.bfloat16,2048,16,1,0.755859375,0.2861,
torch-2.1(triton),torch.bfloat16,2048,16,1,0.81707763671875,0.3665,
torch-2.1(triton),torch.bfloat16,2048,16,1,0.875244140625,0.4830,
torch-2.1(triton),torch.bfloat16,2048,16,1,0.9212646484375,0.5193,
torch-2.1(triton),torch.bfloat16,2048,16,1,0.94921875,0.4830,
torch-2.1(triton),torch.bfloat16,2048,16,1,0.9697265625,0.5635,
torch-2.1(triton),torch.bfloat16,2048,16,1,0.98291015625,0.4892,
torch-2.1(triton),torch.bfloat16,2048,16,1,0.99041748046875,0.5572,
torch-2.1(triton),torch.bfloat16,2048,32,1,0.496337890625,0.4219,
torch-2.1(triton),torch.bfloat16,2048,32,1,0.593017578125,0.4931,
torch-2.1(triton),torch.bfloat16,2048,32,1,0.678466796875,0.5204,
torch-2.1(triton),torch.bfloat16,2048,32,1,0.764892578125,0.5270,
torch-2.1(triton),torch.bfloat16,2048,32,1,0.82470703125,0.5516,
