kernel,dtype,size,blocksize,n_batch,sparsity,speedup,note
torch_custom,torch.bfloat16,2048,16,1,0.49371337890625,0.0083,
torch_custom,torch.bfloat16,2048,16,1,0.58953857421875,0.0102,
torch_custom,torch.bfloat16,2048,16,1,0.6807861328125,0.0131,
torch_custom,torch.bfloat16,2048,16,1,0.75537109375,0.0171,
torch_custom,torch.bfloat16,2048,16,1,0.82342529296875,0.0235,
torch_custom,torch.bfloat16,2048,16,1,0.87811279296875,0.0336,
torch_custom,torch.bfloat16,2048,16,1,0.91619873046875,0.0482,
torch_custom,torch.bfloat16,2048,16,1,0.9486083984375,0.0764,
torch_custom,torch.bfloat16,2048,16,1,0.96636962890625,0.1118,
torch_custom,torch.bfloat16,2048,16,1,0.98345947265625,0.2032,
torch_custom,torch.bfloat16,2048,16,1,0.9891357421875,0.2832,
torch_custom,torch.bfloat16,2048,32,1,0.51416015625,0.0172,
torch_custom,torch.bfloat16,2048,32,1,0.587890625,0.0202,
torch_custom,torch.bfloat16,2048,32,1,0.6806640625,0.0258,
torch_custom,torch.bfloat16,2048,32,1,0.75634765625,0.0336,
torch_custom,torch.bfloat16,2048,32,1,0.823974609375,0.0459,
torch_custom,torch.bfloat16,2048,32,1,0.8828125,0.0672,
torch_custom,torch.bfloat16,2048,32,1,0.92578125,0.1016,
torch_custom,torch.bfloat16,2048,32,1,0.946044921875,0.1337,
torch_custom,torch.bfloat16,2048,32,1,0.968017578125,0.2059,
torch_custom,torch.bfloat16,2048,32,1,0.983154296875,0.3399,
torch_custom,torch.bfloat16,2048,32,1,0.990966796875,0.4985,
torch_custom,torch.bfloat16,2048,64,1,0.4921875,0.0338,
torch_custom,torch.bfloat16,2048,64,1,0.5888671875,0.0414,
torch_custom,torch.bfloat16,2048,64,1,0.6845703125,0.0531,
torch_custom,torch.bfloat16,2048,64,1,0.76171875,0.0686,
torch_custom,torch.bfloat16,2048,64,1,0.8193359375,0.0885,
torch_custom,torch.bfloat16,2048,64,1,0.880859375,0.1274,
torch_custom,torch.bfloat16,2048,64,1,0.9169921875,0.1730,
torch_custom,torch.bfloat16,2048,64,1,0.9462890625,0.2409,
torch_custom,torch.bfloat16,2048,64,1,0.97265625,0.3967,
torch_custom,torch.bfloat16,2048,64,1,0.98046875,0.4985,
torch_custom,torch.bfloat16,2048,64,1,0.994140625,0.7915,
torch_custom,torch.bfloat16,2048,16,2,0.50311279296875,0.0065,
torch_custom,torch.bfloat16,2048,16,2,0.5931396484375,0.0080,
torch_custom,torch.bfloat16,2048,16,2,0.6778564453125,0.0101,
torch_custom,torch.bfloat16,2048,16,2,0.75799560546875,0.0135,
torch_custom,torch.bfloat16,2048,16,2,0.82354736328125,0.0184,
torch_custom,torch.bfloat16,2048,16,2,0.87994384765625,0.0269,
torch_custom,torch.bfloat16,2048,16,2,0.91729736328125,0.0387,
torch_custom,torch.bfloat16,2048,16,2,0.9478759765625,0.0600,
torch_custom,torch.bfloat16,2048,16,2,0.96807861328125,0.0942,
torch_custom,torch.bfloat16,2048,16,2,0.9813232421875,0.1508,
torch_custom,torch.bfloat16,2048,16,2,0.990478515625,0.2581,
torch_custom,torch.bfloat16,2048,32,2,0.509033203125,0.0131,
torch_custom,torch.bfloat16,2048,32,2,0.6044921875,0.0161,
torch_custom,torch.bfloat16,2048,32,2,0.6796875,0.0200,
torch_custom,torch.bfloat16,2048,32,2,0.772216796875,0.0279,
torch_custom,torch.bfloat16,2048,32,2,0.834716796875,0.0381,
torch_custom,torch.bfloat16,2048,32,2,0.873291015625,0.0492,
torch_custom,torch.bfloat16,2048,32,2,0.91748046875,0.0735,
torch_custom,torch.bfloat16,2048,32,2,0.946044921875,0.1082,
torch_custom,torch.bfloat16,2048,32,2,0.96826171875,0.1703,
torch_custom,torch.bfloat16,2048,32,2,0.98046875,0.2510,
torch_custom,torch.bfloat16,2048,32,2,0.988525390625,0.3665,
torch_custom,torch.bfloat16,2048,64,2,0.5166015625,0.0276,
torch_custom,torch.bfloat16,2048,64,2,0.5791015625,0.0316,
torch_custom,torch.bfloat16,2048,64,2,0.681640625,0.0412,
torch_custom,torch.bfloat16,2048,64,2,0.744140625,0.0508,
torch_custom,torch.bfloat16,2048,64,2,0.8291015625,0.0744,
torch_custom,torch.bfloat16,2048,64,2,0.86328125,0.0912,
torch_custom,torch.bfloat16,2048,64,2,0.9306640625,0.1639,
torch_custom,torch.bfloat16,2048,64,2,0.947265625,0.2058,
torch_custom,torch.bfloat16,2048,64,2,0.9794921875,0.3995,
torch_custom,torch.bfloat16,2048,64,2,0.9853515625,0.5065,
torch_custom,torch.bfloat16,2048,64,2,0.9912109375,0.6472,
torch_custom,torch.bfloat16,2048,16,4,0.49603271484375,0.0052,
torch_custom,torch.bfloat16,2048,16,4,0.594482421875,0.0065,
torch_custom,torch.bfloat16,2048,16,4,0.6776123046875,0.0081,
torch_custom,torch.bfloat16,2048,16,4,0.75543212890625,0.0108,
torch_custom,torch.bfloat16,2048,16,4,0.81866455078125,0.0146,
torch_custom,torch.bfloat16,2048,16,4,0.8739013671875,0.0216,
torch_custom,torch.bfloat16,2048,16,4,0.91790771484375,0.0330,
torch_custom,torch.bfloat16,2048,16,4,0.95037841796875,0.0540,
torch_custom,torch.bfloat16,2048,16,4,0.96966552734375,0.0857,
torch_custom,torch.bfloat16,2048,16,4,0.9822998046875,0.1395,
torch_custom,torch.bfloat16,2048,16,4,0.99139404296875,0.2521,
torch_custom,torch.bfloat16,2048,32,4,0.492431640625,0.0106,
torch_custom,torch.bfloat16,2048,32,4,0.59619140625,0.0134,
torch_custom,torch.bfloat16,2048,32,4,0.681884765625,0.0171,
torch_custom,torch.bfloat16,2048,32,4,0.75439453125,0.0221,
torch_custom,torch.bfloat16,2048,32,4,0.832275390625,0.0322,
torch_custom,torch.bfloat16,2048,32,4,0.878662109375,0.0440,
torch_custom,torch.bfloat16,2048,32,4,0.918212890625,0.0642,
torch_custom,torch.bfloat16,2048,32,4,0.948974609375,0.0997,
torch_custom,torch.bfloat16,2048,32,4,0.9677734375,0.1494,
torch_custom,torch.bfloat16,2048,32,4,0.980712890625,0.2285,
torch_custom,torch.bfloat16,2048,32,4,0.990966796875,0.3893,
torch_custom,torch.bfloat16,2048,64,4,0.5166015625,0.0237,
torch_custom,torch.bfloat16,2048,64,4,0.587890625,0.0277,
torch_custom,torch.bfloat16,2048,64,4,0.662109375,0.0336,
torch_custom,torch.bfloat16,2048,64,4,0.7490234375,0.0448,
torch_custom,torch.bfloat16,2048,64,4,0.8330078125,0.0660,
torch_custom,torch.bfloat16,2048,64,4,0.8701171875,0.0837,
torch_custom,torch.bfloat16,2048,64,4,0.916015625,0.1243,
torch_custom,torch.bfloat16,2048,64,4,0.951171875,0.1966,
torch_custom,torch.bfloat16,2048,64,4,0.96484375,0.2532,
torch_custom,torch.bfloat16,2048,64,4,0.97265625,0.3036,
torch_custom,torch.bfloat16,2048,64,4,0.9873046875,0.5113,
torch_custom,torch.bfloat16,2048,16,8,0.50048828125,0.0035,
torch_custom,torch.bfloat16,2048,16,8,0.5953369140625,0.0044,
torch_custom,torch.bfloat16,2048,16,8,0.6854248046875,0.0057,
torch_custom,torch.bfloat16,2048,16,8,0.755615234375,0.0074,
torch_custom,torch.bfloat16,2048,16,8,0.82550048828125,0.0107,
torch_custom,torch.bfloat16,2048,16,8,0.87750244140625,0.0158,
torch_custom,torch.bfloat16,2048,16,8,0.919677734375,0.0251,
torch_custom,torch.bfloat16,2048,16,8,0.95111083984375,0.0452,
torch_custom,torch.bfloat16,2048,16,8,0.9700927734375,0.0787,
torch_custom,torch.bfloat16,2048,16,8,0.9822998046875,0.1306,
torch_custom,torch.bfloat16,2048,16,8,0.98846435546875,0.1949,
torch_custom,torch.bfloat16,2048,32,8,0.5126953125,0.0077,
torch_custom,torch.bfloat16,2048,32,8,0.597900390625,0.0095,
torch_custom,torch.bfloat16,2048,32,8,0.680908203125,0.0125,
torch_custom,torch.bfloat16,2048,32,8,0.75830078125,0.0170,
torch_custom,torch.bfloat16,2048,32,8,0.823486328125,0.0254,
torch_custom,torch.bfloat16,2048,32,8,0.873779296875,0.0379,
torch_custom,torch.bfloat16,2048,32,8,0.914306640625,0.0576,
torch_custom,torch.bfloat16,2048,32,8,0.945068359375,0.0894,
torch_custom,torch.bfloat16,2048,32,8,0.969482421875,0.1538,
torch_custom,torch.bfloat16,2048,32,8,0.981201171875,0.2315,
torch_custom,torch.bfloat16,2048,32,8,0.990478515625,0.3837,
torch_custom,torch.bfloat16,2048,64,8,0.494140625,0.0188,
torch_custom,torch.bfloat16,2048,64,8,0.58984375,0.0248,
torch_custom,torch.bfloat16,2048,64,8,0.6708984375,0.0325,
torch_custom,torch.bfloat16,2048,64,8,0.779296875,0.0489,
torch_custom,torch.bfloat16,2048,64,8,0.845703125,0.0693,
torch_custom,torch.bfloat16,2048,64,8,0.8984375,0.1022,
torch_custom,torch.bfloat16,2048,64,8,0.9365234375,0.1562,
torch_custom,torch.bfloat16,2048,64,8,0.947265625,0.1836,
torch_custom,torch.bfloat16,2048,64,8,0.970703125,0.2930,
torch_custom,torch.bfloat16,2048,64,8,0.98046875,0.3892,
torch_custom,torch.bfloat16,2048,64,8,0.9873046875,0.5345,
torch_custom,torch.bfloat16,2048,16,16,0.497314453125,0.0026,
torch_custom,torch.bfloat16,2048,16,16,0.58929443359375,0.0032,
torch_custom,torch.bfloat16,2048,16,16,0.6827392578125,0.0042,
torch_custom,torch.bfloat16,2048,16,16,0.76043701171875,0.0060,
torch_custom,torch.bfloat16,2048,16,16,0.82843017578125,0.0085,
torch_custom,torch.bfloat16,2048,16,16,0.880615234375,0.0124,
torch_custom,torch.bfloat16,2048,16,16,0.92034912109375,0.0192,
torch_custom,torch.bfloat16,2048,16,16,0.9466552734375,0.0293,
torch_custom,torch.bfloat16,2048,16,16,0.971435546875,0.0582,
torch_custom,torch.bfloat16,2048,16,16,0.982666015625,0.0989,
torch_custom,torch.bfloat16,2048,16,16,0.9893798828125,0.1707,
torch_custom,torch.bfloat16,2048,32,16,0.509765625,0.0057,
torch_custom,torch.bfloat16,2048,32,16,0.5849609375,0.0069,
torch_custom,torch.bfloat16,2048,32,16,0.666259765625,0.0087,
torch_custom,torch.bfloat16,2048,32,16,0.760498046875,0.0125,
torch_custom,torch.bfloat16,2048,32,16,0.815185546875,0.0166,
torch_custom,torch.bfloat16,2048,32,16,0.8701171875,0.0249,
torch_custom,torch.bfloat16,2048,32,16,0.9208984375,0.0438,
