kernel,dtype,size,blocksize,n_batch,sparsity,speedup,note
torch-2.1(triton),torch.bfloat16,2048,16,1,0.4979248046875,0.1716,
torch-2.1(triton),torch.bfloat16,2048,16,1,0.59735107421875,0.2158,
torch-2.1(triton),torch.bfloat16,2048,16,1,0.67535400390625,0.2589,
torch-2.1(triton),torch.bfloat16,2048,16,1,0.75628662109375,0.3271,
torch-2.1(triton),torch.bfloat16,2048,16,1,0.822998046875,0.4245,
torch-2.1(triton),torch.bfloat16,2048,16,1,0.8798828125,0.5168,
torch-2.1(triton),torch.bfloat16,2048,16,1,0.9200439453125,0.5798,
torch-2.1(triton),torch.bfloat16,2048,16,1,0.949951171875,0.6046,
torch-2.1(triton),torch.bfloat16,2048,16,1,0.9677734375,0.6103,
torch-2.1(triton),torch.bfloat16,2048,16,1,0.98077392578125,0.6039,
torch-2.1(triton),torch.bfloat16,2048,16,1,0.9893798828125,0.6332,
torch-2.1(triton),torch.bfloat16,2048,32,1,0.506103515625,0.4911,
torch-2.1(triton),torch.bfloat16,2048,32,1,0.588134765625,0.5437,
torch-2.1(triton),torch.bfloat16,2048,32,1,0.672607421875,0.5747,
torch-2.1(triton),torch.bfloat16,2048,32,1,0.759033203125,0.5773,
torch-2.1(triton),torch.bfloat16,2048,32,1,0.82568359375,0.6039,
torch-2.1(triton),torch.bfloat16,2048,32,1,0.876220703125,0.6110,
torch-2.1(triton),torch.bfloat16,2048,32,1,0.91748046875,0.6153,
torch-2.1(triton),torch.bfloat16,2048,32,1,0.94580078125,0.6234,
torch-2.1(triton),torch.bfloat16,2048,32,1,0.96923828125,0.5964,
torch-2.1(triton),torch.bfloat16,2048,32,1,0.983154296875,0.6301,
torch-2.1(triton),torch.bfloat16,2048,32,1,0.989501953125,0.6363,
torch-2.1(triton),torch.bfloat16,2048,64,1,0.4990234375,0.5511,
torch-2.1(triton),torch.bfloat16,2048,64,1,0.6015625,0.6067,
torch-2.1(triton),torch.bfloat16,2048,64,1,0.6865234375,0.5964,
torch-2.1(triton),torch.bfloat16,2048,64,1,0.755859375,0.5991,
torch-2.1(triton),torch.bfloat16,2048,64,1,0.818359375,0.6378,
torch-2.1(triton),torch.bfloat16,2048,64,1,0.880859375,0.6433,
torch-2.1(triton),torch.bfloat16,2048,64,1,0.89453125,0.6441,
torch-2.1(triton),torch.bfloat16,2048,64,1,0.939453125,0.6234,
torch-2.1(triton),torch.bfloat16,2048,64,1,0.9658203125,0.6570,
torch-2.1(triton),torch.bfloat16,2048,64,1,0.9853515625,0.6497,
torch-2.1(triton),torch.bfloat16,2048,64,1,0.9951171875,0.6417,
torch-2.1(triton),torch.bfloat16,2048,16,2,0.50469970703125,0.1500,
torch-2.1(triton),torch.bfloat16,2048,16,2,0.59490966796875,0.1802,
torch-2.1(triton),torch.bfloat16,2048,16,2,0.68133544921875,0.2231,
torch-2.1(triton),torch.bfloat16,2048,16,2,0.75640869140625,0.2807,
torch-2.1(triton),torch.bfloat16,2048,16,2,0.8248291015625,0.3663,
torch-2.1(triton),torch.bfloat16,2048,16,2,0.8804931640625,0.4914,
torch-2.1(triton),torch.bfloat16,2048,16,2,0.9185791015625,0.6404,
torch-2.1(triton),torch.bfloat16,2048,16,2,0.95074462890625,0.8767,
torch-2.1(triton),torch.bfloat16,2048,16,2,0.96734619140625,0.9457,
torch-2.1(triton),torch.bfloat16,2048,16,2,0.98052978515625,0.9394,
torch-2.1(triton),torch.bfloat16,2048,16,2,0.9898681640625,1.0012,
torch-2.1(triton),torch.bfloat16,2048,32,2,0.494384765625,0.4705,
torch-2.1(triton),torch.bfloat16,2048,32,2,0.593505859375,0.5593,
torch-2.1(triton),torch.bfloat16,2048,32,2,0.683349609375,0.6743,
torch-2.1(triton),torch.bfloat16,2048,32,2,0.765869140625,0.8322,
torch-2.1(triton),torch.bfloat16,2048,32,2,0.80859375,0.8274,
torch-2.1(triton),torch.bfloat16,2048,32,2,0.884521484375,0.9606,
torch-2.1(triton),torch.bfloat16,2048,32,2,0.919189453125,0.9942,
torch-2.1(triton),torch.bfloat16,2048,32,2,0.946533203125,1.0119,
torch-2.1(triton),torch.bfloat16,2048,32,2,0.9658203125,1.0203,
torch-2.1(triton),torch.bfloat16,2048,32,2,0.98193359375,0.9726,
torch-2.1(triton),torch.bfloat16,2048,32,2,0.98974609375,1.0505,
torch-2.1(triton),torch.bfloat16,2048,64,2,0.4814453125,0.8686,
torch-2.1(triton),torch.bfloat16,2048,64,2,0.5634765625,0.9182,
torch-2.1(triton),torch.bfloat16,2048,64,2,0.689453125,0.9552,
torch-2.1(triton),torch.bfloat16,2048,64,2,0.763671875,0.9509,
torch-2.1(triton),torch.bfloat16,2048,64,2,0.82421875,0.9896,
torch-2.1(triton),torch.bfloat16,2048,64,2,0.8798828125,0.9919,
torch-2.1(triton),torch.bfloat16,2048,64,2,0.923828125,1.0143,
torch-2.1(triton),torch.bfloat16,2048,64,2,0.9453125,1.0365,
torch-2.1(triton),torch.bfloat16,2048,64,2,0.974609375,1.0119,
torch-2.1(triton),torch.bfloat16,2048,64,2,0.9775390625,1.0596,
torch-2.1(triton),torch.bfloat16,2048,64,2,0.982421875,1.0492,
torch-2.1(triton),torch.bfloat16,2048,16,4,0.49346923828125,0.1319,
torch-2.1(triton),torch.bfloat16,2048,16,4,0.5966796875,0.1629,
torch-2.1(triton),torch.bfloat16,2048,16,4,0.6783447265625,0.1992,
torch-2.1(triton),torch.bfloat16,2048,16,4,0.7562255859375,0.2551,
torch-2.1(triton),torch.bfloat16,2048,16,4,0.82244873046875,0.3328,
torch-2.1(triton),torch.bfloat16,2048,16,4,0.87744140625,0.4488,
torch-2.1(triton),torch.bfloat16,2048,16,4,0.9163818359375,0.5974,
torch-2.1(triton),torch.bfloat16,2048,16,4,0.948974609375,0.8358,
torch-2.1(triton),torch.bfloat16,2048,16,4,0.96881103515625,1.1106,
torch-2.1(triton),torch.bfloat16,2048,16,4,0.980712890625,1.3994,
torch-2.1(triton),torch.bfloat16,2048,16,4,0.99066162109375,1.6512,
torch-2.1(triton),torch.bfloat16,2048,32,4,0.50146484375,0.4475,
torch-2.1(triton),torch.bfloat16,2048,32,4,0.605224609375,0.5448,
torch-2.1(triton),torch.bfloat16,2048,32,4,0.682373046875,0.6473,
torch-2.1(triton),torch.bfloat16,2048,32,4,0.759521484375,0.7979,
torch-2.1(triton),torch.bfloat16,2048,32,4,0.824462890625,1.0000,
torch-2.1(triton),torch.bfloat16,2048,32,4,0.88818359375,1.3310,
torch-2.1(triton),torch.bfloat16,2048,32,4,0.920166015625,1.5616,
torch-2.1(triton),torch.bfloat16,2048,32,4,0.948974609375,1.7000,
torch-2.1(triton),torch.bfloat16,2048,32,4,0.964599609375,1.4140,
torch-2.1(triton),torch.bfloat16,2048,32,4,0.98486328125,1.7895,
torch-2.1(triton),torch.bfloat16,2048,32,4,0.990478515625,1.7810,
torch-2.1(triton),torch.bfloat16,2048,64,4,0.5166015625,0.9161,
torch-2.1(triton),torch.bfloat16,2048,64,4,0.5927734375,1.0432,
torch-2.1(triton),torch.bfloat16,2048,64,4,0.67578125,1.2133,
torch-2.1(triton),torch.bfloat16,2048,64,4,0.7421875,1.4194,
torch-2.1(triton),torch.bfloat16,2048,64,4,0.8330078125,1.6567,
torch-2.1(triton),torch.bfloat16,2048,64,4,0.8623046875,1.6828,
torch-2.1(triton),torch.bfloat16,2048,64,4,0.919921875,1.7477,
torch-2.1(triton),torch.bfloat16,2048,64,4,0.9482421875,1.7642,
torch-2.1(triton),torch.bfloat16,2048,64,4,0.966796875,1.7600,
torch-2.1(triton),torch.bfloat16,2048,64,4,0.9892578125,1.8538,
torch-2.1(triton),torch.bfloat16,2048,64,4,0.9892578125,1.8677,
torch-2.1(triton),torch.bfloat16,2048,16,8,0.50177001953125,0.1338,
torch-2.1(triton),torch.bfloat16,2048,16,8,0.5970458984375,0.1630,
torch-2.1(triton),torch.bfloat16,2048,16,8,0.68505859375,0.2041,
torch-2.1(triton),torch.bfloat16,2048,16,8,0.758544921875,0.2588,
torch-2.1(triton),torch.bfloat16,2048,16,8,0.8251953125,0.3420,
torch-2.1(triton),torch.bfloat16,2048,16,8,0.8814697265625,0.4690,
torch-2.1(triton),torch.bfloat16,2048,16,8,0.9156494140625,0.6086,
torch-2.1(triton),torch.bfloat16,2048,16,8,0.9459228515625,0.8417,
torch-2.1(triton),torch.bfloat16,2048,16,8,0.96868896484375,1.1733,
torch-2.1(triton),torch.bfloat16,2048,16,8,0.98419189453125,1.6554,
torch-2.1(triton),torch.bfloat16,2048,16,8,0.99176025390625,2.1051,
torch-2.1(triton),torch.bfloat16,2048,32,8,0.509521484375,0.4663,
torch-2.1(triton),torch.bfloat16,2048,32,8,0.597412109375,0.5525,
torch-2.1(triton),torch.bfloat16,2048,32,8,0.6904296875,0.6850,
torch-2.1(triton),torch.bfloat16,2048,32,8,0.76708984375,0.8599,
torch-2.1(triton),torch.bfloat16,2048,32,8,0.8349609375,1.1117,
torch-2.1(triton),torch.bfloat16,2048,32,8,0.87255859375,1.3332,
torch-2.1(triton),torch.bfloat16,2048,32,8,0.91748046875,1.7624,
torch-2.1(triton),torch.bfloat16,2048,32,8,0.949951171875,2.3062,
torch-2.1(triton),torch.bfloat16,2048,32,8,0.96923828125,2.9216,
torch-2.1(triton),torch.bfloat16,2048,32,8,0.98193359375,3.3352,
torch-2.1(triton),torch.bfloat16,2048,32,8,0.989990234375,3.4688,
torch-2.1(triton),torch.bfloat16,2048,64,8,0.4814453125,0.9349,
torch-2.1(triton),torch.bfloat16,2048,64,8,0.5908203125,1.1253,
torch-2.1(triton),torch.bfloat16,2048,64,8,0.6875,1.3344,
torch-2.1(triton),torch.bfloat16,2048,64,8,0.765625,1.6781,
torch-2.1(triton),torch.bfloat16,2048,64,8,0.8125,1.9375,
torch-2.1(triton),torch.bfloat16,2048,64,8,0.8837890625,2.5192,
torch-2.1(triton),torch.bfloat16,2048,64,8,0.916015625,2.9245,
torch-2.1(triton),torch.bfloat16,2048,64,8,0.94921875,3.2470,
torch-2.1(triton),torch.bfloat16,2048,64,8,0.9736328125,3.3890,
torch-2.1(triton),torch.bfloat16,2048,64,8,0.990234375,3.5611,
torch-2.1(triton),torch.bfloat16,2048,64,8,0.990234375,3.5525,
torch-2.1(triton),torch.bfloat16,2048,16,16,0.5057373046875,0.1276,
torch-2.1(triton),torch.bfloat16,2048,16,16,0.59893798828125,0.1552,
torch-2.1(triton),torch.bfloat16,2048,16,16,0.68310546875,0.1928,
torch-2.1(triton),torch.bfloat16,2048,16,16,0.7530517578125,0.2415,
torch-2.1(triton),torch.bfloat16,2048,16,16,0.82379150390625,0.3244,
torch-2.1(triton),torch.bfloat16,2048,16,16,0.8804931640625,0.4478,
torch-2.1(triton),torch.bfloat16,2048,16,16,0.9173583984375,0.5973,
torch-2.1(triton),torch.bfloat16,2048,16,16,0.9471435546875,0.8253,
torch-2.1(triton),torch.bfloat16,2048,16,16,0.97003173828125,1.1941,
torch-2.1(triton),torch.bfloat16,2048,16,16,0.980712890625,1.5072,
torch-2.1(triton),torch.bfloat16,2048,16,16,0.989013671875,1.9242,
torch-2.1(triton),torch.bfloat16,2048,32,16,0.502197265625,0.4430,
torch-2.1(triton),torch.bfloat16,2048,32,16,0.5966796875,0.5321,
torch-2.1(triton),torch.bfloat16,2048,32,16,0.6806640625,0.6484,
torch-2.1(triton),torch.bfloat16,2048,32,16,0.753662109375,0.8021,
torch-2.1(triton),torch.bfloat16,2048,32,16,0.828125,1.0199,
torch-2.1(triton),torch.bfloat16,2048,32,16,0.88134765625,1.3615,
torch-2.1(triton),torch.bfloat16,2048,32,16,0.91552734375,1.7343,
torch-2.1(triton),torch.bfloat16,2048,32,16,0.94677734375,2.2942,
torch-2.1(triton),torch.bfloat16,2048,32,16,0.9658203125,2.8536,
torch-2.1(triton),torch.bfloat16,2048,32,16,0.98193359375,3.7532,
torch-2.1(triton),torch.bfloat16,2048,32,16,0.98828125,4.5081,
torch-2.1(triton),torch.bfloat16,2048,64,16,0.4736328125,0.9069,
torch-2.1(triton),torch.bfloat16,2048,64,16,0.599609375,1.1309,
torch-2.1(triton),torch.bfloat16,2048,64,16,0.65625,1.2738,
torch-2.1(triton),torch.bfloat16,2048,64,16,0.76171875,1.6675,
torch-2.1(triton),torch.bfloat16,2048,64,16,0.8369140625,2.1532,
torch-2.1(triton),torch.bfloat16,2048,64,16,0.892578125,2.7284,
