kernel,dtype,size,blocksize,n_batch,sparsity,speedup,note
triton,torch.bfloat16,2048,16,1,0.501220703125,0.1661,
triton,torch.bfloat16,2048,16,1,0.591552734375,0.2035,
triton,torch.bfloat16,2048,16,1,0.68292236328125,0.2526,
triton,torch.bfloat16,2048,16,1,0.758056640625,0.3177,
triton,torch.bfloat16,2048,16,1,0.8184814453125,0.3995,
triton,torch.bfloat16,2048,16,1,0.87567138671875,0.5252,
triton,torch.bfloat16,2048,16,1,0.916015625,0.4985,
triton,torch.bfloat16,2048,16,1,0.94561767578125,0.5307,
triton,torch.bfloat16,2048,16,1,0.9678955078125,0.5674,
triton,torch.bfloat16,2048,16,1,0.98358154296875,0.5819,
triton,torch.bfloat16,2048,16,1,0.990478515625,0.5592,
triton,torch.bfloat16,2048,32,1,0.517578125,0.4762,
triton,torch.bfloat16,2048,32,1,0.602294921875,0.5123,
triton,torch.bfloat16,2048,32,1,0.681640625,0.5512,
triton,torch.bfloat16,2048,32,1,0.748779296875,0.5642,
triton,torch.bfloat16,2048,32,1,0.815185546875,0.5745,
triton,torch.bfloat16,2048,32,1,0.87841796875,0.5819,
triton,torch.bfloat16,2048,32,1,0.92431640625,0.5779,
triton,torch.bfloat16,2048,32,1,0.945556640625,0.6080,
triton,torch.bfloat16,2048,32,1,0.970947265625,0.5957,
triton,torch.bfloat16,2048,32,1,0.985595703125,0.5752,
triton,torch.bfloat16,2048,32,1,0.990478515625,0.5826,
triton,torch.bfloat16,2048,64,1,0.50390625,0.5230,
triton,torch.bfloat16,2048,64,1,0.5888671875,0.5706,
triton,torch.bfloat16,2048,64,1,0.6494140625,0.5542,
triton,torch.bfloat16,2048,64,1,0.7509765625,0.5826,
triton,torch.bfloat16,2048,64,1,0.8349609375,0.5693,
triton,torch.bfloat16,2048,64,1,0.8828125,0.6058,
triton,torch.bfloat16,2048,64,1,0.9091796875,0.5964,
triton,torch.bfloat16,2048,64,1,0.9453125,0.5792,
triton,torch.bfloat16,2048,64,1,0.966796875,0.6065,
triton,torch.bfloat16,2048,64,1,0.9755859375,0.6087,
triton,torch.bfloat16,2048,64,1,0.990234375,0.6000,
triton,torch.bfloat16,2048,16,2,0.50006103515625,0.1355,
triton,torch.bfloat16,2048,16,2,0.5872802734375,0.1628,
triton,torch.bfloat16,2048,16,2,0.67254638671875,0.2001,
triton,torch.bfloat16,2048,16,2,0.75616455078125,0.2452,
triton,torch.bfloat16,2048,16,2,0.8223876953125,0.3302,
triton,torch.bfloat16,2048,16,2,0.874755859375,0.4371,
triton,torch.bfloat16,2048,16,2,0.92041015625,0.5983,
triton,torch.bfloat16,2048,16,2,0.949462890625,0.7905,
triton,torch.bfloat16,2048,16,2,0.96685791015625,0.8263,
triton,torch.bfloat16,2048,16,2,0.98431396484375,0.8674,
triton,torch.bfloat16,2048,16,2,0.98931884765625,0.8791,
triton,torch.bfloat16,2048,32,2,0.506591796875,0.4420,
triton,torch.bfloat16,2048,32,2,0.58935546875,0.5078,
triton,torch.bfloat16,2048,32,2,0.68212890625,0.6152,
triton,torch.bfloat16,2048,32,2,0.763671875,0.7526,
triton,torch.bfloat16,2048,32,2,0.82958984375,0.8441,
triton,torch.bfloat16,2048,32,2,0.880126953125,0.8333,
triton,torch.bfloat16,2048,32,2,0.91845703125,0.9086,
triton,torch.bfloat16,2048,32,2,0.945556640625,0.9224,
triton,torch.bfloat16,2048,32,2,0.97607421875,0.9390,
triton,torch.bfloat16,2048,32,2,0.9814453125,0.9492,
triton,torch.bfloat16,2048,32,2,0.984619140625,0.9149,
triton,torch.bfloat16,2048,64,2,0.4619140625,0.7719,
triton,torch.bfloat16,2048,64,2,0.623046875,0.8093,
triton,torch.bfloat16,2048,64,2,0.6650390625,0.8496,
triton,torch.bfloat16,2048,64,2,0.7724609375,0.8674,
triton,torch.bfloat16,2048,64,2,0.8603515625,0.8840,
triton,torch.bfloat16,2048,64,2,0.8828125,0.9246,
triton,torch.bfloat16,2048,64,2,0.9140625,0.8971,
triton,torch.bfloat16,2048,64,2,0.9443359375,0.9246,
triton,torch.bfloat16,2048,64,2,0.9697265625,0.9323,
triton,torch.bfloat16,2048,64,2,0.984375,0.8900,
triton,torch.bfloat16,2048,64,2,0.994140625,0.9492,
triton,torch.bfloat16,2048,16,4,0.4962158203125,0.1229,
triton,torch.bfloat16,2048,16,4,0.5941162109375,0.1497,
triton,torch.bfloat16,2048,16,4,0.6749267578125,0.1832,
triton,torch.bfloat16,2048,16,4,0.75140380859375,0.2327,
triton,torch.bfloat16,2048,16,4,0.83172607421875,0.3229,
triton,torch.bfloat16,2048,16,4,0.8739013671875,0.4086,
triton,torch.bfloat16,2048,16,4,0.91693115234375,0.5551,
triton,torch.bfloat16,2048,16,4,0.94720458984375,0.7541,
triton,torch.bfloat16,2048,16,4,0.9678955078125,1.0109,
triton,torch.bfloat16,2048,16,4,0.98046875,1.2821,
triton,torch.bfloat16,2048,16,4,0.990234375,1.4968,
triton,torch.bfloat16,2048,32,4,0.5078125,0.4127,
triton,torch.bfloat16,2048,32,4,0.60693359375,0.5009,
triton,torch.bfloat16,2048,32,4,0.68017578125,0.5951,
triton,torch.bfloat16,2048,32,4,0.746826171875,0.7122,
triton,torch.bfloat16,2048,32,4,0.8193359375,0.8873,
triton,torch.bfloat16,2048,32,4,0.87890625,1.1706,
triton,torch.bfloat16,2048,32,4,0.918701171875,1.4498,
triton,torch.bfloat16,2048,32,4,0.949951171875,1.5400,
triton,torch.bfloat16,2048,32,4,0.976318359375,1.5968,
triton,torch.bfloat16,2048,32,4,0.97998046875,1.5822,
triton,torch.bfloat16,2048,32,4,0.98779296875,1.6325,
triton,torch.bfloat16,2048,64,4,0.51171875,0.8370,
triton,torch.bfloat16,2048,64,4,0.6279296875,1.0146,
triton,torch.bfloat16,2048,64,4,0.68359375,1.1474,
triton,torch.bfloat16,2048,64,4,0.751953125,1.3340,
triton,torch.bfloat16,2048,64,4,0.8193359375,1.4620,
triton,torch.bfloat16,2048,64,4,0.8642578125,1.5679,
triton,torch.bfloat16,2048,64,4,0.9248046875,1.6211,
triton,torch.bfloat16,2048,64,4,0.9443359375,1.6249,
triton,torch.bfloat16,2048,64,4,0.96875,1.5696,
triton,torch.bfloat16,2048,64,4,0.9794921875,1.6249,
triton,torch.bfloat16,2048,64,4,0.990234375,1.7260,
triton,torch.bfloat16,2048,16,8,0.4954833984375,0.1227,
triton,torch.bfloat16,2048,16,8,0.59356689453125,0.1501,
triton,torch.bfloat16,2048,16,8,0.67645263671875,0.1851,
triton,torch.bfloat16,2048,16,8,0.75494384765625,0.2351,
triton,torch.bfloat16,2048,16,8,0.828369140625,0.3197,
triton,torch.bfloat16,2048,16,8,0.88201904296875,0.4348,
triton,torch.bfloat16,2048,16,8,0.917724609375,0.5728,
triton,torch.bfloat16,2048,16,8,0.95050048828125,0.8178,
triton,torch.bfloat16,2048,16,8,0.9697265625,1.1110,
triton,torch.bfloat16,2048,16,8,0.9818115234375,1.4301,
triton,torch.bfloat16,2048,16,8,0.98956298828125,1.7655,
triton,torch.bfloat16,2048,32,8,0.497314453125,0.4198,
triton,torch.bfloat16,2048,32,8,0.5966796875,0.5074,
triton,torch.bfloat16,2048,32,8,0.691650390625,0.6329,
triton,torch.bfloat16,2048,32,8,0.759033203125,0.7707,
triton,torch.bfloat16,2048,32,8,0.826416015625,0.9863,
triton,torch.bfloat16,2048,32,8,0.884765625,1.3108,
triton,torch.bfloat16,2048,32,8,0.927734375,1.7463,
triton,torch.bfloat16,2048,32,8,0.942626953125,1.9819,
triton,torch.bfloat16,2048,32,8,0.97314453125,2.7550,
triton,torch.bfloat16,2048,32,8,0.980712890625,3.0232,
triton,torch.bfloat16,2048,32,8,0.98828125,3.0199,
triton,torch.bfloat16,2048,64,8,0.51171875,0.8964,
triton,torch.bfloat16,2048,64,8,0.5751953125,1.0004,
triton,torch.bfloat16,2048,64,8,0.6884765625,1.2659,
triton,torch.bfloat16,2048,64,8,0.7607421875,1.5243,
triton,torch.bfloat16,2048,64,8,0.8056640625,1.7028,
triton,torch.bfloat16,2048,64,8,0.8818359375,2.2832,
triton,torch.bfloat16,2048,64,8,0.91796875,2.6716,
triton,torch.bfloat16,2048,64,8,0.951171875,3.0605,
triton,torch.bfloat16,2048,64,8,0.962890625,3.0605,
triton,torch.bfloat16,2048,64,8,0.9765625,3.1559,
triton,torch.bfloat16,2048,64,8,0.9873046875,3.0400,
triton,torch.bfloat16,2048,16,16,0.502685546875,0.1176,
triton,torch.bfloat16,2048,16,16,0.59124755859375,0.1413,
triton,torch.bfloat16,2048,16,16,0.6767578125,0.1756,
triton,torch.bfloat16,2048,16,16,0.756103515625,0.2264,
triton,torch.bfloat16,2048,16,16,0.8218994140625,0.2978,
triton,torch.bfloat16,2048,16,16,0.876953125,0.4060,
triton,torch.bfloat16,2048,16,16,0.91571044921875,0.5460,
triton,torch.bfloat16,2048,16,16,0.94866943359375,0.7825,
triton,torch.bfloat16,2048,16,16,0.97039794921875,1.1108,
triton,torch.bfloat16,2048,16,16,0.98187255859375,1.4361,
triton,torch.bfloat16,2048,16,16,0.9910888671875,1.9154,
triton,torch.bfloat16,2048,32,16,0.498291015625,0.4068,
triton,torch.bfloat16,2048,32,16,0.59521484375,0.4860,
triton,torch.bfloat16,2048,32,16,0.67529296875,0.5866,
triton,torch.bfloat16,2048,32,16,0.75,0.7265,
triton,torch.bfloat16,2048,32,16,0.824462890625,0.9587,
triton,torch.bfloat16,2048,32,16,0.871337890625,1.1893,
triton,torch.bfloat16,2048,32,16,0.919677734375,1.6222,
triton,torch.bfloat16,2048,32,16,0.949462890625,2.1462,
triton,torch.bfloat16,2048,32,16,0.9658203125,2.6350,
triton,torch.bfloat16,2048,32,16,0.98193359375,3.5020,
triton,torch.bfloat16,2048,32,16,0.989501953125,4.3120,
triton,torch.bfloat16,2048,64,16,0.5029296875,0.8686,
triton,torch.bfloat16,2048,64,16,0.580078125,0.9992,
triton,torch.bfloat16,2048,64,16,0.671875,1.2023,
triton,torch.bfloat16,2048,64,16,0.7529296875,1.4571,
triton,torch.bfloat16,2048,64,16,0.8349609375,1.9168,
triton,torch.bfloat16,2048,64,16,0.876953125,2.2643,
triton,torch.bfloat16,2048,64,16,0.912109375,2.6939,
triton,torch.bfloat16,2048,64,16,0.9453125,3.3832,
triton,torch.bfloat16,2048,64,16,0.9697265625,4.2310,
triton,torch.bfloat16,2048,64,16,0.9794921875,4.7638,
triton,torch.bfloat16,2048,64,16,0.9931640625,5.8367,
triton,torch.bfloat16,2048,16,32,0.50030517578125,0.1157,
triton,torch.bfloat16,2048,16,32,0.59295654296875,0.1406,
triton,torch.bfloat16,2048,16,32,0.6861572265625,0.1786,
triton,torch.bfloat16,2048,16,32,0.7615966796875,0.2303,
triton,torch.bfloat16,2048,16,32,0.8299560546875,0.3070,
triton,torch.bfloat16,2048,16,32,0.87969970703125,0.4102,
triton,torch.bfloat16,2048,16,32,0.91845703125,0.5575,
triton,torch.bfloat16,2048,16,32,0.9476318359375,0.7722,
triton,torch.bfloat16,2048,16,32,0.96893310546875,1.0942,
triton,torch.bfloat16,2048,16,32,0.9805908203125,1.4025,
triton,torch.bfloat16,2048,16,32,0.99078369140625,1.9130,
triton,torch.bfloat16,2048,32,32,0.500244140625,0.4023,
triton,torch.bfloat16,2048,32,32,0.596923828125,0.4721,
triton,torch.bfloat16,2048,32,32,0.673828125,0.5630,
triton,torch.bfloat16,2048,32,32,0.763916015625,0.7364,
triton,torch.bfloat16,2048,32,32,0.822998046875,0.9242,
triton,torch.bfloat16,2048,32,32,0.880859375,1.2374,
triton,torch.bfloat16,2048,32,32,0.921630859375,1.6590,
triton,torch.bfloat16,2048,32,32,0.94482421875,2.0708,
triton,torch.bfloat16,2048,32,32,0.967041015625,2.7566,
triton,torch.bfloat16,2048,32,32,0.97998046875,3.4331,
triton,torch.bfloat16,2048,32,32,0.98779296875,4.3116,
triton,torch.bfloat16,2048,64,32,0.50390625,0.8609,
triton,torch.bfloat16,2048,64,32,0.5927734375,0.9932,
triton,torch.bfloat16,2048,64,32,0.6884765625,1.2199,
triton,torch.bfloat16,2048,64,32,0.771484375,1.5193,
triton,torch.bfloat16,2048,64,32,0.82421875,1.8281,
triton,torch.bfloat16,2048,64,32,0.8857421875,2.3817,
triton,torch.bfloat16,2048,64,32,0.9072265625,2.7123,
triton,torch.bfloat16,2048,64,32,0.9560546875,3.9000,
triton,torch.bfloat16,2048,64,32,0.96484375,4.1837,
triton,torch.bfloat16,2048,64,32,0.984375,5.5654,
triton,torch.bfloat16,2048,64,32,0.9951171875,7.3386,
triton,torch.bfloat16,2048,16,64,0.49072265625,0.1240,
triton,torch.bfloat16,2048,16,64,0.59210205078125,0.1529,
triton,torch.bfloat16,2048,16,64,0.6859130859375,0.1939,
triton,torch.bfloat16,2048,16,64,0.7607421875,0.2490,
triton,torch.bfloat16,2048,16,64,0.82379150390625,0.3257,
triton,torch.bfloat16,2048,16,64,0.87396240234375,0.4320,
triton,torch.bfloat16,2048,16,64,0.91900634765625,0.6144,
triton,torch.bfloat16,2048,16,64,0.9482421875,0.8521,
triton,torch.bfloat16,2048,16,64,0.96826171875,1.1802,
triton,torch.bfloat16,2048,16,64,0.98321533203125,1.6469,
triton,torch.bfloat16,2048,16,64,0.98980712890625,2.0567,
triton,torch.bfloat16,2048,32,64,0.499755859375,0.4332,
triton,torch.bfloat16,2048,32,64,0.59228515625,0.5145,
triton,torch.bfloat16,2048,32,64,0.684814453125,0.6426,
triton,torch.bfloat16,2048,32,64,0.750732421875,0.7802,
triton,torch.bfloat16,2048,32,64,0.821533203125,1.0184,
triton,torch.bfloat16,2048,32,64,0.873779296875,1.3223,
triton,torch.bfloat16,2048,32,64,0.923583984375,1.8692,
triton,torch.bfloat16,2048,32,64,0.948486328125,2.3870,
triton,torch.bfloat16,2048,32,64,0.96826171875,3.0647,
triton,torch.bfloat16,2048,32,64,0.980224609375,3.8375,
triton,torch.bfloat16,2048,32,64,0.990478515625,5.0817,
triton,torch.bfloat16,2048,64,64,0.4765625,0.8964,
triton,torch.bfloat16,2048,64,64,0.5830078125,1.0431,
triton,torch.bfloat16,2048,64,64,0.6982421875,1.3264,
triton,torch.bfloat16,2048,64,64,0.76171875,1.5842,
triton,torch.bfloat16,2048,64,64,0.822265625,1.9421,
triton,torch.bfloat16,2048,64,64,0.8681640625,2.3667,
triton,torch.bfloat16,2048,64,64,0.91015625,2.9440,
triton,torch.bfloat16,2048,64,64,0.939453125,3.6644,
triton,torch.bfloat16,2048,64,64,0.9677734375,4.7155,
triton,torch.bfloat16,2048,64,64,0.9833984375,6.0780,
triton,torch.bfloat16,2048,64,64,0.986328125,6.5791,
triton,torch.bfloat16,2048,16,128,0.5032958984375,0.1327,
triton,torch.bfloat16,2048,16,128,0.59027099609375,0.1592,
triton,torch.bfloat16,2048,16,128,0.67901611328125,0.1984,
triton,torch.bfloat16,2048,16,128,0.76141357421875,0.2594,
